date,Italy,Spain
2020-01-01,0.0,1.0
2020-01-02,0.0,0.0
2020-01-03,0.0,1.0
2020-01-04,0.0,0.0
2020-01-05,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,1.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,2.0
2020-01-11,0.0,1.0
2020-01-12,0.0,1.0
2020-01-13,0.0,2.0
2020-01-14,0.0,0.0
2020-01-15,0.0,1.0
2020-01-16,0.0,1.0
2020-01-17,0.0,1.0
2020-01-18,0.0,2.0
2020-01-19,0.0,0.0
2020-01-20,0.0,3.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,2.0
2020-01-24,0.0,2.0
2020-01-25,0.0,1.0
2020-01-26,0.0,1.0
2020-01-27,0.0,1.0
2020-01-28,0.0,1.0
2020-01-29,0.0,4.0
2020-01-30,0.0,1.0
2020-01-31,0.0,3.0
2020-02-01,0.0,16.0
2020-02-02,0.0,10.0
2020-02-03,0.0,11.0
2020-02-04,0.0,9.0
2020-02-05,0.0,6.0
2020-02-06,0.0,9.0
2020-02-07,0.0,15.0
2020-02-08,0.0,9.0
2020-02-09,0.0,3.0
2020-02-10,0.0,21.0
2020-02-11,0.0,13.0
2020-02-12,0.0,23.0
2020-02-13,0.0,24.0
2020-02-14,0.0,18.0
2020-02-15,0.0,35.0
2020-02-16,0.0,21.0
2020-02-17,0.0,27.0
2020-02-18,0.0,27.0
2020-02-19,0.0,18.0
2020-02-20,0.0,53.0
2020-02-21,0.0,59.0
2020-02-22,0.0,58.0
2020-02-23,0.0,73.0
2020-02-24,229.0,106.0
2020-02-25,93.0,128.0
2020-02-26,78.0,146.0
2020-02-27,250.0,179.0
2020-02-28,238.0,317.0
2020-02-29,240.0,247.0
2020-03-01,566.0,685.0
2020-03-02,342.0,802.0
2020-03-03,466.0,800.0
2020-03-04,587.0,949.0
2020-03-05,769.0,1279.0
2020-03-06,778.0,1611.0
2020-03-07,1247.0,1857.0
2020-03-08,1492.0,2185.0
2020-03-09,1797.0,3384.0
2020-03-10,977.0,4637.0
2020-03-11,2313.0,4704.0
2020-03-12,2651.0,5918.0
2020-03-13,2547.0,7747.0
2020-03-14,3497.0,7422.0
2020-03-15,3590.0,7831.0
2020-03-16,3233.0,9418.0
2020-03-17,3526.0,8792.0
2020-03-18,4207.0,8905.0
2020-03-19,5322.0,8625.0
2020-03-20,5986.0,10575.0
2020-03-21,6557.0,7386.0
2020-03-22,5560.0,6760.0
2020-03-23,4789.0,8213.0
2020-03-24,5249.0,7091.0
2020-03-25,5210.0,6905.0
2020-03-26,6153.0,6323.0
2020-03-27,5959.0,6022.0
2020-03-28,5974.0,5344.0
2020-03-29,5217.0,4242.0
2020-03-30,4050.0,5114.0
2020-03-31,4053.0,4405.0
2020-04-01,4782.0,5449.0
2020-04-02,4668.0,4423.0
2020-04-03,4585.0,4458.0
2020-04-04,4805.0,3655.0
2020-04-05,4316.0,3202.0
2020-04-06,3599.0,3525.0
2020-04-07,3039.0,3198.0
2020-04-08,3836.0,3468.0
2020-04-09,4204.0,3283.0
2020-04-10,3951.0,3169.0
2020-04-11,4694.0,2872.0
2020-04-12,4092.0,2254.0
2020-04-13,3153.0,2175.0
2020-04-14,2972.0,2253.0
2020-04-15,2667.0,2352.0
2020-04-16,3786.0,2278.0
2020-04-17,3493.0,1919.0
2020-04-18,3491.0,1659.0
2020-04-19,3047.0,1145.0
2020-04-20,2256.0,1465.0
2020-04-21,2729.0,1319.0
2020-04-22,3370.0,1472.0
2020-04-23,2646.0,1184.0
2020-04-24,3021.0,1114.0
2020-04-25,2357.0,751.0
2020-04-26,2324.0,555.0
2020-04-27,1739.0,695.0
2020-04-28,2091.0,851.0
2020-04-29,2086.0,750.0
2020-04-30,1872.0,739.0
2020-05-01,1965.0,717.0
2020-05-02,1900.0,659.0
2020-05-03,1389.0,447.0
2020-05-04,1221.0,492.0
2020-05-05,1075.0,300.0
2020-05-06,1444.0,294.0
2020-05-07,1401.0,299.0
2020-05-08,1327.0,380.0
2020-05-09,1083.0,344.0
2020-05-10,802.0,358.0
2020-05-11,744.0,902.0
2020-05-12,1402.0,619.0
2020-05-13,888.0,591.0
2020-05-14,992.0,524.0
2020-05-15,789.0,605.0
2020-05-16,875.0,404.0
2020-05-17,675.0,363.0
2020-05-18,451.0,610.0
2020-05-19,813.0,623.0
2020-05-20,665.0,488.0
2020-05-21,642.0,496.0
2020-05-22,652.0,610.0
2020-05-23,669.0,385.0
2020-05-24,531.0,340.0
2020-05-25,300.0,557.0
2020-05-26,397.0,598.0
2020-05-27,584.0,415.0
2020-05-28,593.0,532.0
2020-05-29,516.0,535.0
2020-05-30,416.0,355.0
2020-05-31,355.0,277.0
2020-06-01,178.0,433.0
2020-06-02,318.0,440.0
2020-06-03,321.0,450.0
2020-06-04,177.0,376.0
2020-06-05,518.0,478.0
2020-06-06,270.0,273.0
2020-06-07,197.0,240.0
2020-06-08,280.0,406.0
2020-06-09,283.0,365.0
2020-06-10,202.0,336.0
2020-06-11,379.0,296.0
2020-06-12,163.0,375.0
2020-06-13,346.0,202.0
2020-06-14,338.0,217.0
2020-06-15,301.0,365.0
2020-06-16,210.0,344.0
2020-06-17,328.0,325.0
2020-06-18,331.0,326.0
2020-06-19,-148.0,307.0
2020-06-20,264.0,298.0
2020-06-21,224.0,256.0
2020-06-22,221.0,347.0
2020-06-23,113.0,386.0
2020-06-24,577.0,418.0
2020-06-25,296.0,376.0
2020-06-26,255.0,429.0
2020-06-27,175.0,353.0
2020-06-28,174.0,277.0
2020-06-29,126.0,435.0
2020-06-30,142.0,466.0
2020-07-01,182.0,562.0
2020-07-02,201.0,438.0
2020-07-03,223.0,556.0
2020-07-04,235.0,473.0
2020-07-05,192.0,464.0
2020-07-06,208.0,720.0
2020-07-07,137.0,821.0
2020-07-08,193.0,909.0
2020-07-09,214.0,933.0
2020-07-10,276.0,1176.0
2020-07-11,188.0,899.0
2020-07-12,234.0,873.0
2020-07-13,169.0,1423.0
2020-07-14,114.0,1606.0
2020-07-15,162.0,1871.0
2020-07-16,230.0,1730.0
2020-07-17,231.0,2094.0
2020-07-18,249.0,1850.0
2020-07-19,218.0,1582.0
2020-07-20,190.0,2365.0
2020-07-21,128.0,2389.0
2020-07-22,280.0,2425.0
2020-07-23,306.0,2272.0
2020-07-24,252.0,2552.0
2020-07-25,274.0,2098.0
2020-07-26,254.0,1923.0
2020-07-27,168.0,3036.0
2020-07-28,202.0,3184.0
2020-07-29,288.0,3292.0
2020-07-30,382.0,3216.0
2020-07-31,379.0,3717.0
2020-08-01,295.0,3624.0
2020-08-02,238.0,2816.0
2020-08-03,159.0,4214.0
2020-08-04,190.0,4698.0
2020-08-05,384.0,4613.0
2020-08-06,401.0,4583.0
2020-08-07,552.0,5372.0
2020-08-08,347.0,4311.0
2020-08-09,463.0,4067.0
2020-08-10,259.0,6133.0
2020-08-11,412.0,6659.0
2020-08-12,476.0,6528.0
2020-08-13,522.0,6319.0
2020-08-14,574.0,7175.0
2020-08-15,629.0,5759.0
2020-08-16,477.0,5084.0
2020-08-17,320.0,7204.0
2020-08-18,401.0,8652.0
2020-08-19,642.0,8379.0
2020-08-20,840.0,8425.0
2020-08-21,947.0,9566.0
2020-08-22,1071.0,6746.0
2020-08-23,1209.0,6069.0
2020-08-24,953.0,8334.0
2020-08-25,876.0,10387.0
2020-08-26,1366.0,9755.0
2020-08-27,1409.0,9414.0
2020-08-28,1460.0,10867.0
2020-08-29,1444.0,7461.0
2020-08-30,1365.0,6560.0
2020-08-31,996.0,8559.0
2020-09-01,975.0,11473.0
2020-09-02,1326.0,10460.0
2020-09-03,1397.0,10347.0
2020-09-04,1732.0,11450.0
2020-09-05,1693.0,8851.0
2020-09-06,1297.0,7552.0
2020-09-07,1150.0,9639.0
2020-09-08,1369.0,11621.0
2020-09-09,1430.0,11853.0
2020-09-10,1597.0,11557.0
2020-09-11,1616.0,12157.0
2020-09-12,1501.0,9561.0
2020-09-13,1456.0,8279.0
2020-09-14,1008.0,10831.0
2020-09-15,1229.0,12521.0
2020-09-16,1452.0,12122.0
2020-09-17,1583.0,11607.0
2020-09-18,1907.0,14251.0
2020-09-19,1637.0,8727.0
2020-09-20,1587.0,7487.0
2020-09-21,1350.0,10065.0
2020-09-22,1391.0,12503.0
2020-09-23,1640.0,11693.0
2020-09-24,1786.0,11175.0
2020-09-25,1912.0,11782.0
2020-09-26,1869.0,7880.0
2020-09-27,1766.0,6375.0
2020-09-28,1494.0,9166.0
2020-09-29,1647.0,10737.0
2020-09-30,1850.0,10028.0
2020-10-01,2548.0,10657.0
2020-10-02,2499.0,11050.0
2020-10-03,2843.0,8117.0
2020-10-04,2578.0,7471.0
2020-10-05,2257.0,11198.0
2020-10-06,2677.0,12736.0
2020-10-07,3677.0,12350.0
2020-10-08,4458.0,12600.0
2020-10-09,5372.0,13445.0
2020-10-10,5724.0,10948.0
2020-10-11,5456.0,8998.0
2020-10-12,4619.0,10963.0
2020-10-13,5898.0,14289.0
2020-10-14,7332.0,16223.0
2020-10-15,8803.0,16376.0
2020-10-16,10009.0,17514.0
2020-10-17,10925.0,14315.0
2020-10-18,11705.0,13047.0
2020-10-19,9337.0,20786.0
2020-10-20,10871.0,22524.0
2020-10-21,15199.0,22082.0
2020-10-22,16078.0,21157.0
2020-10-23,19143.0,22232.0
2020-10-24,19640.0,17332.0
2020-10-25,21273.0,15410.0
2020-10-26,17007.0,22490.0
2020-10-27,21989.0,23116.0
2020-10-28,24988.0,22226.0
2020-10-29,26829.0,20678.0
2020-10-30,31079.0,21655.0
2020-10-31,31756.0,16881.0
2020-11-01,29905.0,16117.0
2020-11-02,22253.0,19361.0
2020-11-03,28241.0,21539.0
2020-11-04,30548.0,20577.0
2020-11-05,34502.0,19775.0
2020-11-06,37802.0,19618.0
2020-11-07,39809.0,15565.0
2020-11-08,32614.0,12624.0
2020-11-09,25269.0,17276.0
2020-11-10,35090.0,17820.0
2020-11-11,32961.0,16583.0
2020-11-12,37977.0,14985.0
2020-11-13,40902.0,14986.0
2020-11-14,37249.0,11625.0
2020-11-15,33977.0,9228.0
2020-11-16,27352.0,13257.0
2020-11-17,32191.0,13306.0
2020-11-18,34280.0,11983.0
2020-11-19,36176.0,10046.0
2020-11-20,37239.0,10486.0
2020-11-21,34764.0,8078.0
2020-11-22,28337.0,6315.0
2020-11-23,22927.0,9156.0
2020-11-24,23227.0,9102.0
2020-11-25,25852.0,8384.0
2020-11-26,29001.0,7689.0
2020-11-27,28342.0,8497.0
2020-11-28,26315.0,6364.0
2020-11-29,20646.0,5111.0
2020-11-30,16376.0,7582.0
2020-12-01,19347.0,8657.0
2020-12-02,20709.0,7880.0
2020-12-03,23219.0,7004.0
2020-12-04,24110.0,7326.0
2020-12-05,21052.0,5815.0
2020-12-06,18887.0,4955.0
2020-12-07,13679.0,6903.0
2020-12-08,14837.0,6549.0
2020-12-09,12755.0,8800.0
2020-12-10,16998.0,9523.0
2020-12-11,18726.0,10117.0
2020-12-12,19902.0,8368.0
2020-12-13,17937.0,6778.0
2020-12-14,12025.0,10560.0
2020-12-15,14839.0,11156.0
2020-12-16,17568.0,10525.0
2020-12-17,18233.0,9713.0
2020-12-18,15401.0,10868.0
2020-12-19,16305.0,8647.0
2020-12-20,15102.0,7516.0
2020-12-21,10869.0,11054.0
2020-12-22,13316.0,11614.0
2020-12-23,13908.0,11921.0
2020-12-24,18039.0,10583.0
2020-12-25,19037.0,8335.0
2020-12-26,10429.0,10362.0
2020-12-27,8913.0,10668.0
2020-12-28,8581.0,16646.0
2020-12-29,11210.0,16236.0
2020-12-30,16202.0,16768.0
2020-12-31,23477.0,15027.0
2021-01-01,22210.0,13878.0
2021-01-02,11825.0,16246.0
2021-01-03,14245.0,16194.0
2021-01-04,10798.0,25389.0
2021-01-05,15375.0,29697.0
2021-01-06,20326.0,20140.0
2021-01-07,18416.0,27778.0
2021-01-08,17529.0,33771.0
2021-01-09,19976.0,27194.0
2021-01-10,18625.0,24639.0
2021-01-11,12530.0,36062.0
2021-01-12,14242.0,36870.0
2021-01-13,15773.0,35742.0
2021-01-14,17243.0,35019.0
2021-01-15,16144.0,39649.0
2021-01-16,16310.0,31098.0
2021-01-17,12544.0,25925.0
2021-01-18,8825.0,39223.0
2021-01-19,10496.0,39551.0
2021-01-20,13568.0,38041.0
2021-01-21,14055.0,34273.0
2021-01-22,13633.0,37131.0
2021-01-23,13331.0,28170.0
2021-01-24,11628.0,22614.0
2021-01-25,8559.0,32624.0
2021-01-26,10584.0,31824.0
2021-01-27,15191.0,29583.0
2021-01-28,14360.0,26409.0
2021-01-29,13563.0,25836.0
2021-01-30,12713.0,19436.0
2021-01-31,11249.0,14397.0
2021-02-01,7925.0,21804.0
2021-02-02,9651.0,20820.0
2021-02-03,13182.0,17996.0
2021-02-04,13656.0,15832.0
2021-02-05,14213.0,15956.0
2021-02-06,13439.0,11317.0
2021-02-07,11640.0,8363.0
2021-02-08,7969.0,12543.0
2021-02-09,10612.0,11932.0
2021-02-10,12947.0,10602.0
2021-02-11,15137.0,9246.0
2021-02-12,13893.0,9664.0
2021-02-13,13523.0,6925.0
2021-02-14,11060.0,5737.0
2021-02-15,7344.0,8421.0
2021-02-16,10368.0,8137.0
2021-02-17,12066.0,7152.0
2021-02-18,13755.0,6564.0
2021-02-19,15470.0,6620.0
2021-02-20,14914.0,5304.0
2021-02-21,13450.0,4325.0
2021-02-22,9617.0,6477.0
2021-02-23,13299.0,6319.0
2021-02-24,16402.0,5545.0
2021-02-25,19871.0,5120.0
2021-02-26,20488.0,5558.0
2021-02-27,18902.0,4163.0
2021-02-28,17440.0,3768.0
2021-03-01,13106.0,5687.0
2021-03-02,17063.0,5311.0
2021-03-03,20840.0,5285.0
2021-03-04,22845.0,4681.0
2021-03-05,24010.0,5022.0
2021-03-06,23633.0,3994.0
2021-03-07,20724.0,3572.0
2021-03-08,13882.0,5271.0
2021-03-09,19725.0,5057.0
2021-03-10,22275.0,4968.0
2021-03-11,25649.0,4707.0
2021-03-12,26790.0,5144.0
2021-03-13,26031.0,4096.0
2021-03-14,21304.0,3738.0
2021-03-15,15252.0,5798.0
2021-03-16,20376.0,5462.0
2021-03-17,23040.0,5177.0
2021-03-18,24901.0,5448.0
2021-03-19,25707.0,5188.0
2021-03-20,23913.0,4690.0
2021-03-21,20045.0,4339.0
2021-03-22,24501.0,6891.0
2021-03-23,18739.0,7098.0
2021-03-24,21246.0,6345.0
2021-03-25,23783.0,6176.0
2021-03-26,23974.0,6909.0
2021-03-27,23771.0,5626.0
2021-03-28,19604.0,5218.0
2021-03-29,12900.0,7292.0
2021-03-30,16051.0,7176.0
2021-03-31,22499.0,7310.0
2021-04-01,23639.0,7016.0
2021-04-02,21917.0,6010.0
2021-04-03,21247.0,6974.0
2021-04-04,18017.0,7036.0
2021-04-05,10680.0,8999.0
2021-04-06,7763.0,9610.0
2021-04-07,13686.0,9035.0
2021-04-08,17209.0,8504.0
2021-04-09,18924.0,8829.0
2021-04-10,17551.0,7793.0
2021-04-11,15737.0,6411.0
2021-04-12,9780.0,9413.0
2021-04-13,13439.0,9172.0
2021-04-14,16160.0,9093.0
2021-04-15,16963.0,8479.0
2021-04-16,15923.0,8820.0
2021-04-17,15364.0,7155.0
2021-04-18,12688.0,6578.0
2021-04-19,8863.0,9083.0
2021-04-20,12069.0,9621.0
2021-04-21,13836.0,8441.0
2021-04-22,16046.0,8304.0
2021-04-23,14758.0,8426.0
2021-04-24,13814.0,6817.0
2021-04-25,13157.0,5854.0
2021-04-26,8440.0,8670.0
2021-04-27,10398.0,8384.0
2021-04-28,13382.0,7670.0
2021-04-29,14314.0,7077.0
2021-04-30,13445.0,7411.0
2021-05-01,12964.0,5479.0
2021-05-02,9145.0,4652.0
2021-05-03,5946.0,6605.0
2021-05-04,9113.0,6751.0
2021-05-05,10579.0,6715.0
2021-05-06,11798.0,5610.0
2021-05-07,10549.0,5956.0
2021-05-08,10174.0,4460.0
2021-05-09,8289.0,3883.0
2021-05-10,5077.0,5936.0
2021-05-11,6943.0,5164.0
2021-05-12,7848.0,5101.0
2021-05-13,8082.0,4856.0
2021-05-14,7562.0,5026.0
2021-05-15,6652.0,4091.0
2021-05-16,5748.0,3489.0
2021-05-17,3454.0,5444.0
2021-05-18,4449.0,5376.0
2021-05-19,5500.0,4666.0
2021-05-20,5736.0,4742.0
2021-05-21,5215.0,4827.0
2021-05-22,4714.0,3668.0
2021-05-23,3993.0,3267.0
2021-05-24,2489.0,4841.0
2021-05-25,3220.0,4972.0
2021-05-26,3935.0,4832.0
2021-05-27,4143.0,4355.0
2021-05-28,3737.0,4597.0
2021-05-29,3348.0,3547.0
2021-05-30,2948.0,3030.0
2021-05-31,1818.0,4496.0
2021-06-01,2483.0,4922.0
2021-06-02,2896.0,4507.0
2021-06-03,1963.0,3840.0
